dataset,seed,n,algo,build_time_ms,opt_time_ms,init_length,init_crossings,final_length,final_crossings,two_opt_moves
uniform,1,200,GAO,4.285,26.554,143.177952,10717,143.177952,10717,0
uniform,1,200,NN,4.634,30.007,13.543405,33,13.543405,33,0
uniform,1,200,SWEEP,0.251,32.463,31.217899,0,31.217899,0,0
uniform,1,200,CI,850.242,21.686,12.332456,2,12.332456,2,0
uniform,1,400,GAO,2.483,91.116,276.239856,43075,276.239856,43075,0
uniform,1,400,NN,17.755,87.624,17.252542,24,17.252542,24,0
uniform,1,400,SWEEP,0.342,88.593,66.829247,0,66.829247,0,0
uniform,1,400,CI,6839.785,95.705,17.386521,4,17.386521,4,0
uniform,1,900,GAO,5.436,488.120,643.507098,219776,643.507098,219776,0
uniform,1,900,NN,93.766,487.272,27.184075,92,27.184075,92,0
uniform,1,900,SWEEP,0.707,460.331,143.311185,0,143.311185,0,0
uniform,1,900,CI,82310.370,487.541,26.644486,14,26.644486,14,0
clusters,1,200,GAO,2.313,23.679,110.033904,7548,110.033904,7548,0
clusters,1,200,NN,4.980,25.950,7.252716,32,7.252716,32,0
clusters,1,200,SWEEP,0.241,22.519,13.793823,0,13.793823,0,0
clusters,1,200,CI,939.218,22.041,7.048118,4,7.048118,4,0
clusters,1,400,GAO,2.553,91.221,342.491996,42796,342.491996,42796,0
clusters,1,400,NN,17.431,89.662,10.782150,29,10.782150,29,0
clusters,1,400,SWEEP,0.332,90.551,24.693020,0,24.693020,0,0
clusters,1,400,CI,6915.249,96.111,11.190495,2,11.190495,2,0
clusters,1,900,GAO,5.877,491.201,514.895242,192957,514.895242,192957,0
clusters,1,900,NN,90.499,470.125,19.480412,90,19.480412,90,0
clusters,1,900,SWEEP,0.725,477.510,119.958637,0,119.958637,0,0
clusters,1,900,CI,82827.403,488.398,18.269114,9,18.269114,9,0
grid_jitter,1,400,GAO,3.010,147.969,285.081685,44646,285.081685,44646,0
grid_jitter,1,400,NN,22.018,93.555,20.693038,41,20.693038,41,0
grid_jitter,1,400,SWEEP,0.331,94.174,65.120938,0,65.120938,0,0
grid_jitter,1,400,CI,7147.439,89.583,20.215792,1,20.215792,1,0
grid_jitter,1,900,GAO,5.362,487.652,641.059317,230221,641.059317,230221,0
grid_jitter,1,900,NN,89.446,461.040,30.580697,107,30.580697,107,0
grid_jitter,1,900,SWEEP,0.635,461.375,139.018184,0,139.018184,0,0
grid_jitter,1,900,CI,82155.875,469.926,28.347685,10,28.347685,10,0
uniform,2,200,GAO,1.722,22.886,140.223983,10531,140.223983,10531,0
uniform,2,200,NN,4.340,21.547,13.223604,24,13.223604,24,0
uniform,2,200,SWEEP,0.183,22.947,31.948155,0,31.948155,0,0
uniform,2,200,CI,864.622,22.086,12.427053,4,12.427053,4,0
uniform,2,400,GAO,2.668,95.509,277.597805,43414,277.597805,43414,0
uniform,2,400,NN,17.975,89.862,18.211919,42,18.211919,42,0
uniform,2,400,SWEEP,0.360,90.084,58.031368,0,58.031368,0,0
uniform,2,400,CI,6811.925,87.167,17.963538,9,17.963538,9,0
uniform,2,900,GAO,5.296,487.921,627.126074,217052,627.126074,217052,0
uniform,2,900,NN,91.546,472.665,27.283148,81,27.283148,81,0
uniform,2,900,SWEEP,0.686,468.278,144.780415,0,144.780415,0,0
uniform,2,900,CI,79900.223,463.259,26.200777,13,26.200777,13,0
clusters,2,200,GAO,1.985,23.176,88.513194,9817,88.513194,9817,0
clusters,2,200,NN,4.401,22.508,6.256713,18,6.256713,18,0
clusters,2,200,SWEEP,0.196,22.244,14.930300,0,14.930300,0,0
clusters,2,200,CI,896.673,22.466,5.812363,3,5.812363,3,0
clusters,2,400,GAO,2.514,92.645,277.473256,41745,277.473256,41745,0
clusters,2,400,NN,17.856,91.528,11.394406,26,11.394406,26,0
clusters,2,400,SWEEP,0.334,91.272,26.250597,0,26.250597,0,0
clusters,2,400,CI,7568.012,92.164,11.268136,9,11.268136,9,0
clusters,2,900,GAO,6.577,478.935,583.242676,179906,583.242676,179906,0
clusters,2,900,NN,90.734,470.697,18.152331,86,18.152331,86,0
clusters,2,900,SWEEP,0.630,468.173,99.805140,0,99.805140,0,0
clusters,2,900,CI,79874.661,452.359,17.584660,16,17.584660,16,0
grid_jitter,2,400,GAO,2.779,91.621,284.344603,44178,284.344603,44178,0
grid_jitter,2,400,NN,17.921,94.401,21.949534,63,21.949534,63,0
grid_jitter,2,400,SWEEP,0.353,88.276,70.936584,0,70.936584,0,0
grid_jitter,2,400,CI,6952.757,92.985,19.901359,3,19.901359,3,0
grid_jitter,2,900,GAO,5.215,480.201,642.035760,230472,642.035760,230472,0
grid_jitter,2,900,NN,91.432,460.398,29.032132,73,29.032132,73,0
grid_jitter,2,900,SWEEP,1.635,461.806,146.229750,0,146.229750,0,0
grid_jitter,2,900,CI,80710.108,995.188,28.479958,11,28.479958,11,0
