dataset,seed,n,algo,build_time_ms,opt_time_ms,init_length,init_crossings,final_length,final_crossings,two_opt_moves
uniform,1,200,GAO,9.770,23.953,142.426324,10346,142.426324,10346,0
uniform,1,200,GAO v6,29.986,23.602,143.587960,12680,143.587960,12680,0
uniform,1,200,NN,4.347,21.683,13.543405,33,13.543405,33,0
uniform,1,200,SWEEP,0.209,22.079,31.217899,0,31.217899,0,0
uniform,1,200,CI,843.711,21.642,12.332456,2,12.332456,2,0
uniform,1,400,GAO,15.585,90.425,275.933115,43084,275.933115,43084,0
uniform,1,400,GAO v6,41.865,90.975,284.018572,56529,284.018572,56529,0
uniform,1,400,NN,17.560,88.075,17.252542,24,17.252542,24,0
uniform,1,400,SWEEP,0.303,87.742,66.829247,0,66.829247,0,0
uniform,1,400,CI,6772.514,88.013,17.386521,4,17.386521,4,0
uniform,1,900,GAO,31.573,463.585,641.723335,217310,641.723335,217310,0
uniform,1,900,GAO v6,117.057,464.893,606.194808,247649,606.194808,247649,0
uniform,1,900,NN,87.008,448.581,27.184075,92,27.184075,92,0
uniform,1,900,SWEEP,0.595,458.074,143.311185,0,143.311185,0,0
uniform,1,900,CI,78707.361,465.882,26.644486,14,26.644486,14,0
clusters,1,200,GAO,9.533,22.901,108.802729,7383,108.802729,7383,0
clusters,1,200,GAO v6,25.899,22.758,81.698361,4656,81.698361,4656,0
clusters,1,200,NN,4.525,22.217,7.252716,32,7.252716,32,0
clusters,1,200,SWEEP,0.194,22.519,13.793823,0,13.793823,0,0
clusters,1,200,CI,1040.953,22.439,7.048118,4,7.048118,4,0
clusters,1,400,GAO,16.117,93.489,342.087648,42374,342.087648,42374,0
clusters,1,400,GAO v6,66.682,92.617,242.021978,21094,242.021978,21094,0
clusters,1,400,NN,17.941,91.433,10.782150,29,10.782150,29,0
clusters,1,400,SWEEP,0.296,91.863,24.693020,0,24.693020,0,0
clusters,1,400,CI,6900.679,92.199,11.190495,2,11.190495,2,0
clusters,1,900,GAO,34.540,482.959,514.879946,193736,514.879946,193736,0
clusters,1,900,GAO v6,209.840,474.858,299.195444,104688,299.195444,104688,0
clusters,1,900,NN,89.833,468.041,19.480412,90,19.480412,90,0
clusters,1,900,SWEEP,0.565,465.755,119.958637,0,119.958637,0,0
clusters,1,900,CI,79565.235,467.832,18.269114,9,18.269114,9,0
grid_jitter,1,400,GAO,16.443,94.283,284.009100,43626,284.009100,43626,0
grid_jitter,1,400,GAO v6,37.893,95.019,283.175901,54754,283.175901,54754,0
grid_jitter,1,400,NN,17.527,90.227,20.693038,41,20.693038,41,0
grid_jitter,1,400,SWEEP,0.306,91.647,65.120938,0,65.120938,0,0
grid_jitter,1,400,CI,6918.138,91.267,20.215792,1,20.215792,1,0
grid_jitter,1,900,GAO,33.881,478.318,640.271799,227736,640.271799,227736,0
