dataset,seed,n,algo,build_time_ms,opt_time_ms,init_length,init_crossings,final_length,final_crossings,two_opt_moves
uniform,123,100,GAO,1.077,476.360,67.657341,2561,8.730962,0,97
uniform,123,100,NN,1.115,67.877,10.092813,13,8.507285,0,16
uniform,123,100,SWEEP,0.277,260.534,16.106452,0,8.592615,0,52
uniform,123,100,CI,103.230,86.653,9.332168,2,8.308394,0,20
clusters,123,100,GAO,1.094,508.642,34.405973,2107,3.797303,0,93
clusters,123,100,NN,1.094,91.789,4.745234,9,3.751042,0,19
clusters,123,100,SWEEP,0.251,252.228,8.529370,0,3.844560,0,61
clusters,123,100,CI,97.102,81.060,4.206937,3,3.863001,0,20
grid_jitter,123,100,GAO,0.952,336.204,71.265352,2755,10.127873,0,83
grid_jitter,123,100,NN,1.108,44.975,10.678027,7,9.780441,0,10
grid_jitter,123,100,SWEEP,0.237,212.739,19.138670,0,10.395363,0,47
grid_jitter,123,100,CI,97.253,17.457,10.224683,0,10.140139,0,3
